Title,Link,Source,Published,Datetime,Category,img,Scraped_At
UK launches £210 million cyber action plan for public services,https://news.google.com/read/CBMilgFBVV95cUxPOXJLZ1h0SWRWYU92SW9tTVUxXzBnUVBWaDREMllyV1F4VTFVTm5yOF9Rb1VWdlFhN0I1WUhFSHRBUUxhSlFEWFBJcC0yVXlldkpBZzlIZGNlRlRYMUtlZThDNWVQLXRaLUU3T0FsRWFLMHdVTjE2cGVXNV9HQlFBQS10TzFxWDZGZ3h2UDMzdkNWdHRJZUE,More,17 minutes ago,2026-01-07T18:25:56,Critical Infrastructure,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.scworld.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-01-07T18:44:17.224688
The Cabinet of Ministers approved a new draft Labor Code: what it entails,https://news.google.com/read/CBMimwFBVV95cUxNb1ZyWlNGY2FQcGZnNWxuRFFKSmthWE9PcUEwTFVXTnVKSzlsNVR1c1UyUWdaTlRjbzJqVDgtcW5qQTNVVFYxN0dIaDBsSVZNVlJiSlBSbkVwOE4taTQ5UjNFWWx6ZWdnVm9ybmY3TlNDTGxmMm9FZFM0d2VCRHM2cFdYZjhReVBPVEliWE5hdjFXMjZ6UU0wZnpaNNIBmgFBVV95cUxOMlc5bmx0NnNQOV9HcnNnT2JabS1VU2xESi1OSDZjbkgwMVR4TjV2QnNESEFwX2lGM3JBLUwtQTg5RU9GZ2ppS2hrT08ydms3UVRrNk4xaG1uUEhsc1JSMi1pSHVnbnAtbjhXZnpLblVOUmNzR0FuNW94cUh6cGFBZDI3Y3Z2eWFDYXE3R25aU1BFZFlSSE11Y1Bn,More,1 hour ago,2026-01-07T17:37:27,UNN,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://unn.ua&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-01-07T18:44:17.224697
Trust Wallet’s $7M hack shows where crypto-friendly SMEs may be vulnerable,https://news.google.com/read/CBMi0wFBVV95cUxQRTliTFN3dU1IREhkX3NVNEd5eWxCQmlmeEphZENnbGQ5NzJvYllfQ1RFajdpcjQ1NWdGQmxvbXJ3OERWbE13VDFsUHlhVjRGTTdxRzlVNzc0ek4tUjhxQTJ3dndtZ052aVBJOGNwN09zTEJScWYxUHp0N2dDbjRlXzZQNUtteGZnbThMV25obGV5MFpROUc4SFBYeUVpVFdHVjhmWmszcWNZSEpydG1nbWNYV2tTNDRYQnR6RS1yVWlDRTd1dk1xa2FQV1pzbzRoX1RV,More,1 hour ago,2026-01-07T17:15:00,Supply Chain,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.tradingview.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-01-07T18:44:17.224702
"GBHackers Security | #1 Globally Trusted Cyber Security News Platform | GBhackers Offering Exclusive Cyber Security News Coverage, New Research papers & Technology Updates.",https://news.google.com/read/CBMigwFBVV95cUxNSmRQS2NDbTF5SVlmQm1IdC1RNE1DbTBBQ0E1NGgxaTNJUGhoSzI3Tml5R0RIbDNvaUNZeEhNYmlpNXpKZnFIeFJSQjRDREdRZmhIRVcwYVItQTBqbU9wb1lkdUtGN2FHLXVzUzU2ZF9fLWdDRVpJbmx5STZBbHpqTUtyQQ,More,1 hour ago,2026-01-07T17:09:00,Malware,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://thehackernews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-01-07T18:44:17.224706
Taiwan blames Chinese ‘cyber army’ for rise in millions of daily intrusion attempts,https://news.google.com/read/CBMiigFBVV95cUxQWkFWZkV3QWw3bE9yVmhsM1IxTzBNNlhYVmZaSXR2cmFWZV9LOV80dl9LUTFqenl1OEZYZHZ1aUI4Sk9hQmlkVjFGWG96c1otSUM2TXRBMVB3eFdYbE4zT2IwUVJTdWc0cUFzRmZZX0lGQkoybGxwcEpZRnBmcmhMV1Z4N0tWNUhLb1E,More,1 hour ago,2026-01-07T17:02:07,China Cyber,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://cyberscoop.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-01-07T18:44:17.224711
Venezuela strike marks a turning point for US cyber warfare,https://news.google.com/read/CBMiggFBVV95cUxPUGJmUkVKMXVtbXA0VGtmY3g3RzBONmVkRlQtNTdyTGE1OHROVVBtWlNVNmRvaWxxN3J3V2J3cEtYTXNWTU1pZTU2dWx3eHJFT2doRFE5WHJLTXdhclNaZEhWNmN0d1daRkZGQ2FvTHZQQUxwSFh1M0M5aHVSbWszOTNn,More,1 hour ago,2026-01-07T16:53:52,State-Sponsored Cyber,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.politico.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-01-07T18:44:17.224715
Amazon Busts DPRK Hacker on Tiny Typing Delay,https://news.google.com/read/CBMihAFBVV95cUxNazR0QUlPWklWeUNjczc4WmZGZWdQQWowLVN2NlR6WG00OURubVlmNmg1T2xuQXF6YjB5b3lpUTU3aVdtdWRsSWU2WHZnQXc1TFJ3QXhhUUxNYmM2X0FPa19lUDNvWGw1cmdHNkttX2hudkhzZGNIRmowRlg0eXBCMTM5RkU,More,2 hours ago,2026-01-07T16:38:09,DPRK Cyber,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.itsecuritynews.info&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-01-07T18:44:17.224720
CrazyHunter Ransomware Attacking Healthcare Sector with Advanced Evasion Techniques,https://news.google.com/read/CBMiiAFBVV95cUxOdG9XLTRmR2h2Z2dteUhTX0djeERTWW55U2VnbDRGNHA3enRZNnY3ZUNFYjg4U0NCeVluNWJ2R1VjWDhRRWJCQWRDb05EdlVUbXBnd2RQQUdMdVkwVmpVeklZTjQzbmYtaVFhQVlFanVZaFp6bHFDQ2dLclgxeTZmV0doc0lXYXI10gGOAUFVX3lxTE9ZSXIta19XQ0VmbXZ3UnlKQ1VLeGFOeG01dHBZVUlwb0I3cEJKVDB3Skl3Qm4zNW8tazVYN29WMnc5d25oODdfMjRBZUlNcXBpdk1xM3hXdF9ka3FlSkxOUkl0cTlvYWd3OGFQVWo3N3dVRF8wWThKWDRPVXpYR0hZUmNqZlVFNHlYVXZ3UXc,More,2 hours ago,2026-01-07T16:13:18,Healthcare Security,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://cybersecuritynews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-01-07T18:44:17.224726
"Alleged cyber scam kingpin arrested, extradited to China",https://news.google.com/read/CBMihgFBVV95cUxNbUJpVHc4YmhzUmY4bVlEZEpfRFFIRm5CVzdmeWhrd1pZanMxek55dUZuTTczNWRGZE11aXRpVFRUcEs3aEJ5Vms4R1BraFFVMVBOX0VEX2VDeTdvSElhUlNxLVF6V2c3cGl1c3VEU29jelVaZXFaX3h2dVAwUmJlM0RvYlEwQQ,More,2 hours ago,2026-01-07T16:04:18,The Record,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://therecord.media&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-01-07T18:44:17.224731
NIST asks public for help securing AI agents,https://news.google.com/read/CBMimgFBVV95cUxPdGpCYU1NWUlEZHZ2SEdQUzJUZjQ3WGFXQTZnUnloQWcxV295cmFCc3FMYUZERVBkWEZLY1d0WWRXbUdvSHl0Y1RVRlBuaVF6TzZjM293ZDlNRDhndGdYQjc4bUw0V0swcjhoQnByZmZEbXV1aVlEU0tSNXN3NGo1ZjZMVl9UbHhRa09nYjVQRXFLS3JqZDFpdVRn,More,2 hours ago,2026-01-07T15:57:59,Cybersecurity Dive,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cybersecuritydive.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",2026-01-07T18:44:17.224736
